Year,Gross output at basic prices £ million,Intermediate consumption £ million,Total Income from Farming £ million,Agriculture's share of total regional employment %,Country
1998,1951.788608,1120.445415,212.4831686,,Scotland
1999,1881.11645,1072.080658,222.4748563,,Scotland
2000,1882.210146,1059.841242,237.0133772,2.812626467,Scotland
2001,1888.0331,1025.981123,335.3373304,2.649826723,Scotland
2002,1908.459122,1052.667132,325.4390487,2.637104247,Scotland
2003,2085.201523,1074.595244,479.6705552,2.613126674,Scotland
2004,2161.823629,1114.780738,480.5374428,2.591736481,Scotland
2005,1780.668348,1147.15643,430.6217108,2.519597615,Scotland
2006,1915.108545,1211.869846,569.0378192,2.449232456,Scotland
2007,2192.201023,1348.735369,656.036302,2.447230321,Scotland
2008,2443.016479,1584.636902,644.7463556,2.318109953,Scotland
2009,2397.94748,1683.596582,550.0492644,2.508129469,Scotland
2010,2582.5653,1679.014802,705.330518,2.762040816,Scotland
2011,2939.829307,1834.980204,838.1726851,2.695705765,Scotland
2012,2955.993408,1959.444258,668.2148486,2.728389155,Scotland
2013,3161.170135,1964.758506,883.3822984,2.644348509,Scotland
2014,3087.798876,1857.424844,821.2496134,2.56686024,Scotland
2015,2816.358323,1753.003745,599.0461462,2.501262916,Scotland
2016,2781.224753,1692.234024,637.1285066,2.406103108,Scotland
2017,3106.289158,1881.399797,740.3268415,2.510528288,Scotland
2018,3181.422525,1996.934561,652.4659772,2.49408018,Scotland
2019,3308.244569,2008.435343,731.7052838,2.497802607,Scotland
1995,1335.16625,725.486631,281.4460594,,Northern Ireland
1996,1362.390993,791.702247,236.2741697,,Northern Ireland
1997,1262.132975,744.109186,168.3078098,,Northern Ireland
1998,1114.763421,680.080286,75.02111427,,Northern Ireland
1999,1090.261122,658.019328,83.91213836,,Northern Ireland
2000,1086.309452,631.053324,107.1132814,7.565445026,Northern Ireland
2001,1180.534762,670.716101,178.1625919,7.31974026,Northern Ireland
2002,1136.404134,696.466711,108.6209512,6.896188056,Northern Ireland
2003,1233.471698,776.66902,123.1165445,6.802247191,Northern Ireland
2004,1306.523623,799.311148,152.6120307,6.539877301,Northern Ireland
2005,1071.026838,795.51594,146.2857981,6.127098321,Northern Ireland
2006,1061.087787,807.388116,134.7870977,5.889281508,Northern Ireland
2007,1241.107573,900.175999,203.7676218,5.742690058,Northern Ireland
2008,1408.274544,1075.119313,192.895227,5.523917995,Northern Ireland
2009,1345.290205,1067.388471,197.1544897,5.693950178,Northern Ireland
2010,1522.445178,1163.857063,258.6480123,5.984654731,Northern Ireland
2011,1725.929862,1260.026548,337.3696524,5.819627329,Northern Ireland
2012,1782.913144,1352.838443,263.4100577,5.974842767,Northern Ireland
2013,1976.501026,1473.683905,360.9254257,6.035353535,Northern Ireland
2014,1943.909576,1446.771564,328.058758,5.848595849,Northern Ireland
2015,1781.988061,1379.105745,222.9979214,5.894226044,Northern Ireland
2016,1827.950307,1348.535672,290.518167,5.714011976,Northern Ireland
2017,2150.695647,1469.249351,506.485851,5.832814371,Northern Ireland
2018,2194.954739,1606.805,386.2096087,5.841992883,Northern Ireland
2019,2149.04705,1615.897925,289.7787028,5.654805492,Northern Ireland
